,광역시도,시군,pop,moon,hong,ahn,yu,sim
125,강원도,고성군,18692,5664.0,6511.0,3964.0,1239.0,979.0
126,강원도,양양군,17853,5017.0,6687.0,3868.0,1044.0,954.0
127,강원도,인제군,20751,6574.0,6009.0,4759.0,1665.0,1311.0
128,강원도,홍천군,43648,13851.0,13549.0,10023.0,2879.0,2687.0
129,강원도,횡성군,29447,8833.0,10423.0,6479.0,1675.0,1612.0
130,강원도,영월군,25925,8067.0,8779.0,5753.0,1532.0,1424.0
131,강원도,평창군,27444,8591.0,9348.0,5998.0,1547.0,1588.0
132,강원도,화천군,17083,5161.0,5019.0,4000.0,1441.0,1113.0
133,강원도,양구군,14848,4526.0,4250.0,3519.0,1287.0,944.0
134,강원도,철원군,29103,8998.0,8437.0,7101.0,2225.0,1847.0
135,충청북도,청주시상당구,106316,42308.0,27108.0,21983.0,6509.0,7306.0
136,충청북도,청주시서원구,134980,56521.0,30471.0,28912.0,8459.0,9454.0
137,충청북도,청주시흥덕구,153064,66281.0,31023.0,32756.0,9951.0,11601.0
138,충청북도,청주시청원구,115327,50487.0,24026.0,24203.0,7285.0,8249.0
139,충청북도,충주시,127426,43551.0,38532.0,28588.0,7233.0,8115.0
140,충청북도,제천시,84700,28517.0,26977.0,17768.0,5085.0,5249.0
141,충청북도,단양군,19905,5708.0,7901.0,4026.0,978.0,964.0
142,충청북도,영동군,32554,10432.0,10958.0,7017.0,1726.0,1873.0
143,충청북도,보은군,22341,7268.0,7587.0,4910.0,1015.0,1135.0
144,충청북도,옥천군,33175,11181.0,10431.0,7465.0,1552.0,1905.0
145,충청북도,음성군,56788,20723.0,15180.0,13381.0,2988.0,3671.0
146,충청북도,진천군,41255,15844.0,10265.0,9489.0,2239.0,2925.0
147,충청북도,괴산군,25824,7876.0,9435.0,5830.0,1063.0,1198.0
148,충청북도,증평군,21786,8109.0,5608.0,5126.0,1199.0,1450.0
149,충청남도,천안시서북구,212329,94202.0,37293.0,47891.0,14613.0,16591.0
150,충청남도,천안시동남구,151132,59695.0,34869.0,34933.0,9089.0,11067.0
151,충청남도,공주시,67018,25036.0,18449.0,15814.0,2948.0,3852.0
152,충청남도,보령시,62825,20674.0,19453.0,15428.0,2819.0,3546.0
