,Oil_store,Address,Price,Self,Brand,Location
0,배꽃나라주유소,서울 노원구 화랑로 466 (공릉동),1515.0,Y,GS칼텍스,노원구
1,월계주유소,서울 노원구 월계로 252 (월계동),1519.0,Y,GS칼텍스,노원구
2,삼육주유소,서울 노원구 화랑로 822 (공릉동),1535.0,Y,SK에너지,노원구
3,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),1565.0,Y,S-OIL,노원구
4,성북역주유소,서울 노원구 광운로 95 (월계동),1568.0,N,GS칼텍스,노원구
5,남선석유(주)구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),1595.0,Y,S-OIL,노원구
6,한신주유소,서울 노원구 동일로 1089 (공릉동),1598.0,N,SK에너지,노원구
7,화랑대주유소,서울 노원구 화랑로 483,1598.0,Y,SK에너지,노원구
8,현대오일뱅크㈜직영 하계주유소,서울 노원구 노원로17길 29 (하계동),1598.0,N,현대오일뱅크,노원구
9,신성주유소,서울 노원구 월계로 328 (월계동),1598.0,Y,S-OIL,노원구
10,노원주유소,서울 노원구 동일로 1008 (공릉동),1619.0,N,GS칼텍스,노원구
11,하계삼호주유소,서울 노원구 공릉로 294 (하계동),1665.0,N,GS칼텍스,노원구
12,상계동주유소,서울 노원구 노원로26길 191 (상계동),1670.0,N,현대오일뱅크,노원구
13,(주)소모에너지 수락산셀프주유소,서울 노원구 동일로 1772,1728.0,Y,GS칼텍스,노원구
0,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),1489.0,Y,SK에너지,도봉구
1,도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),1499.0,N,현대오일뱅크,도봉구
2,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),1504.0,Y,S-OIL,도봉구
3,동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),1508.0,Y,SK에너지,도봉구
